#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Feb 28 16:11:46 EST 2019,42,42,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ GetMinTest1+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EfficiencyTest1- EverythingTest- GetMinTest2- GetMinTest3- SizeTest1- SizeTest2- SizeTest4- , ,
1,Thu Feb 28 16:22:16 EST 2019,47,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest1 GetMinTest2+ InsertTest1 InsertTest2 InsertTest3 SizeTest1+ , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest2 SizeTest3- SizeTest4 , ,
2,Thu Feb 28 16:37:43 EST 2019,68,21,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3+ GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 , ,
3,Thu Feb 28 16:42:32 EST 2019,63,-5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest4 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest3- , ,
4,Thu Feb 28 16:49:28 EST 2019,73,10,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3+ SizeTest4 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest , ,
5,Thu Feb 28 16:55:22 EST 2019,84,11,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2+ DelMinTest3 DelMinTest4+ GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
6,Thu Feb 28 16:56:04 EST 2019,47,-37,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2- DelMinTest3- DelMinTest4- EfficiencyTest1 EverythingTest GetMinTest3- SizeTest2- SizeTest3- SizeTest4- , ,
7,Thu Feb 28 16:56:18 EST 2019,84,37,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2+ DelMinTest3+ DelMinTest4+ GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
8,Thu Feb 28 16:58:00 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
9,Thu Feb 28 17:00:14 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
10,Thu Feb 28 17:09:33 EST 2019,84,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest1 EfficiencyTest1 EverythingTest , ,
